source_path,category,confidence,reason,superseded_by,recommended_action,needs_user_decision,notes
Results/JMP_multi_year_stage_M1_static_validation_report_v3.md,HISTORICAL_KEEP,MEDIUM,Final version of v1→v2→v3 static validation chain; v1 and v2 archived in first pass; v3 is canonical for generalization validation; status now captured in full execution report,Results/JMP_multi_year_stage_M1_P3a_full_execution_report_v1.md,KEEP,NO,Keep: it is the surviving canonical document in its chain; archiving it would leave no validation report for the generalization phase
Results/JMP_multi_year_stage_M1_execution_readiness_v1.md,HISTORICAL_KEEP,MEDIUM,Dry-run NOT FOUND output; operationally superseded by full execution; cited by readiness report v1 (which is archived),Results/JMP_multi_year_stage_M1_P3a_full_execution_report_v1.md,KEEP,NO,Keep: it is a point-in-time record that has no surviving referencing document after v1 readiness report was archived
docs/RURO_GSUR_O7_crosswalk_signoff_v1.md,UNCERTAIN_USER_DECISION,LOW,Single-year O7 sign-off for un-tagged y2016 parquet; cited by RURO_occ_M0c_b2_GSURv2_verdict_v1.md; multi-year O7 (JMP_GSURv2_O7_crosswalk_signoff_v1.md) supersedes for multi-year use,docs/JMP_GSURv2_O7_crosswalk_signoff_v1.md,REVIEW,YES,Archive if M0c_b2_GSURv2 chain is historical only; keep if M0c_b2_GSURv2 chain is still active evidence
docs/RURO_GSUR_external_acquisition_report_v1.md,UNCERTAIN_USER_DECISION,LOW,Initial acquisition analysis; O1 reasoning had errors corrected by adversarial verification; contains O2/O9 reasoning not reproduced elsewhere; long document,docs/RURO_GSUR_StageA_authorization_v1.md,REVIEW,YES,Archive to HISTORICAL_KEEP if acquisition provenance is complete; keep in docs/ if source-path reasoning may need re-examination
docs/RURO_GSUR_external_acquisition_verification_claude_v1.md,UNCERTAIN_USER_DECISION,LOW,Adversarial verification of O1/O2/O9 source paths; corrected factual errors in acquisition report; informed open-decisions resolution but not in authorization chain,docs/RURO_GSUR_v2_1_open_decisions_resolution_v1.md,REVIEW,YES,Archive to HISTORICAL_KEEP if acquisition provenance is complete; keep in docs/ for re-audit access
docs/JMP_GSURv2_multi_year_extension_design_memo_v1.md,ACTIVE_KEEP,HIGH,Governing design memo for multi-year extension; cited in every downstream authorization document; required active reference,,KEEP,NO,
docs/JMP_GSURv2_multi_year_extension_construction_authorization_v1.md,ACTIVE_KEEP,HIGH,Active construction authorization; cited by construction verdict; required for active chain,,KEEP,NO,
docs/JMP_GSURv2_multi_year_extension_construction_verdict_v1.md,ACTIVE_KEEP,HIGH,Active construction verdict (in §3 required list),,KEEP,NO,
docs/JMP_GSURv2_multi_year_extension_construction_verdict_correction_v1.md,ACTIVE_KEEP,HIGH,Active verdict correction (in §3 required list),,KEEP,NO,
docs/JMP_GSURv2_multi_year_extension_construction_report_v1.md,ACTIVE_KEEP,HIGH,Active construction execution report; cited by construction verdict,,KEEP,NO,
docs/JMP_GSURv2_multi_year_extension_readiness_reaudit_v1.md,ACTIVE_KEEP,HIGH,READY FOR CONSTRUCTION verdict that enabled construction authorization; required in authorization chain,,KEEP,NO,
docs/JMP_GSURv2_multi_year_extension_implementation_audit_v1.md,ACTIVE_KEEP,HIGH,NOT READY verdict that established remediation requirement; cited in remediation authorization,,KEEP,NO,
docs/JMP_GSURv2_MNL_rebuild_verdict_v1.md,ACTIVE_KEEP,HIGH,Active post-rebuild verdict (in §3 required list),,KEEP,NO,
docs/JMP_GSURv2_MNL_rebuild_verdict_correction_v1.md,ACTIVE_KEEP,HIGH,Active verdict correction (in §3 required list),,KEEP,NO,
docs/JMP_GSURv2_MNL_rebuild_authorization_v1.md,ACTIVE_KEEP,HIGH,Active rebuild authorization (in §3 required list),,KEEP,NO,
docs/JMP_GSURv2_MNL_rebuild_authorization_correction_v1.md,ACTIVE_KEEP,HIGH,Active authorization correction (in §3 required list),,KEEP,NO,
docs/JMP_GSURv2_O7_crosswalk_signoff_v1.md,ACTIVE_KEEP,HIGH,Active multi-year O7 sign-off approving y2014/y2015/y2016 lookups and merge key; required for MNL rebuild authorization chain,,KEEP,NO,
docs/JMP_multi_year_stage_M1_P3a_construction_verdict_v1.md,ACTIVE_KEEP,HIGH,Active P3a construction verdict (in §3 required list),,KEEP,NO,
docs/JMP_multi_year_and_cross_validation_strategy_memo_v3_1.md,ACTIVE_KEEP,HIGH,Canonical strategy memo (in §3 required list),,KEEP,NO,
docs/JMP_multi_year_and_cross_validation_strategy_memo_v3.md,HISTORICAL_KEEP,MEDIUM,v3 and v3.1 form the complete revision trail; both referenced in downstream documents; v3.1 corrects inconsistencies but v3 is still the base record,,KEEP,NO,
docs/RURO_GSUR_rebuild_specification_v2_1.md,ACTIVE_KEEP,HIGH,Canonical GSUR specification (in §3 required list),,KEEP,NO,
docs/RURO_GSUR_external_acquisition_decision_v2.md,ACTIVE_KEEP,HIGH,Canonical acquisition decision (in §3 required list),,KEEP,NO,
docs/JMP_GSUR_year_alignment_decision_v1.md,ACTIVE_KEEP,HIGH,Active alignment rule (in §3 required list),,KEEP,NO,
docs/RURO_occ_M1_naive_robustness_verdict_v1.md,ACTIVE_KEEP,HIGH,Active M1-naive robustness verdict (in §3 required list),,KEEP,NO,
docs/JMP_welfare_measurement_decisions_memo_v2.md,ACTIVE_KEEP,HIGH,Canonical welfare decisions (in §3 required list),,KEEP,NO,
docs/JMP_welfare_scaffolding_design_memo_v2.md,ACTIVE_KEEP,HIGH,Canonical welfare scaffolding design (in §3 required list),,KEEP,NO,
docs/RURO_occ_M1_clean_verdict_v1.md,ACTIVE_KEEP,HIGH,Active M1-clean verdict; M1-clean 2016 is the active JMP baseline,,KEEP,NO,
docs/RURO_occ_M0c_b2_GSURv2_verdict_v1.md,ACTIVE_KEEP,HIGH,Active M0c_b2 GSURv2 verdict; direct predecessor of M1-clean,,KEEP,NO,
docs/RURO_occ_M0c_b2_verdict_v1.md,ACTIVE_KEEP,HIGH,Terminal verdict in the M0 identification ladder; cited by M0c_b2_GSURv2 verdict,,KEEP,NO,
docs/RURO_GSUR_StageA_authorization_v1.md,ACTIVE_KEEP,HIGH,Authoritative Stage A authorization; cited by construction authorization chain,,KEEP,NO,
docs/RURO_GSUR_v2_1_open_decisions_resolution_v1.md,ACTIVE_KEEP,HIGH,Binding O1–O10 resolutions record; cited by Stage A authorization,,KEEP,NO,
docs/RURO_GSUR_local_O1_evidence_audit_v1.md,ACTIVE_KEEP,HIGH,Documents local O1 file evidence; informs open-decisions resolution; not superseded,,KEEP,NO,
docs/RURO_GSUR_v2_stageA_implementation_report_v1.md,ACTIVE_KEEP,HIGH,Stage A implementation record; cited by construction authorization chain,,KEEP,NO,
docs/RURO_GSUR_SOURCE_AND_MERGE_AUDIT_v1.md,ACTIVE_KEEP,HIGH,GSUR merge audit; cited by M0c_b2 verdict,,KEEP,NO,
docs/JMP_multi_year_stage_M1_execution_readiness_report_v2.md,ACTIVE_KEEP,HIGH,Active READY readiness verdict; cited by full execution report,,KEEP,NO,
docs/JMP_multi_year_stage_M1_implementation_plan_v2.md,ACTIVE_KEEP,HIGH,Governing Stage M1 plan; cited throughout,,KEEP,NO,
docs/JMP_multi_year_stage_M1_implementation_report_v1.md,ACTIVE_KEEP,HIGH,Scaffolding completion record; cited by construction verdict,,KEEP,NO,
docs/JMP_multi_year_stage_M1_generalization_report_v1.md,ACTIVE_KEEP,HIGH,Generalization of Stage M1 scripts; cited by fix report,,KEEP,NO,
docs/JMP_multi_year_stage_M1_generalization_fix_report_v1.md,ACTIVE_KEEP,HIGH,Two blocker fixes post-generalization; required for static validation context,,KEEP,NO,
docs/JMP_multi_year_sample_construction_descriptives_report_v1.md,ACTIVE_KEEP,HIGH,Descriptives and sample-construction documentation; in-place corrections applied,,KEEP,NO,
docs/RURO_prep_mnl_gsur_year_support_report_v1.md,ACTIVE_KEEP,HIGH,Documents --gsur-year CLI patch; required context for single-year rebuild reports,,KEEP,NO,
docs/JMP_single_year_replication_2015_2017_authorization_v1.md,ACTIVE_KEEP,HIGH,Authorization for FR_2015 and FR_2017 replications; cited by readiness report v2,,KEEP,NO,
docs/JMP_single_year_replication_2015_2017_command_plan_v2.md,ACTIVE_KEEP,HIGH,Active command plan (CLI-corrected); used for FR_2015 and FR_2017 replications,,KEEP,NO,
docs/JMP_multi_year_CPI_HICP_source_decision_v1.md,ACTIVE_KEEP,HIGH,CPI source decision (Option B); required for harmonization,,KEEP,NO,
docs/RURO_occ_M1_clean_design_memo_v2.md,ACTIVE_KEEP,HIGH,Canonical M1-clean design memo,,KEEP,NO,
docs/RURO_occ_M1_clean_implementation_audit_v1.md,ACTIVE_KEEP,HIGH,Pre-estimation audit for M1-clean; cited by M1-clean verdict,,KEEP,NO,
docs/RURO_occ_M1_clean_YAML_implementation_report_v1.md,ACTIVE_KEEP,HIGH,M1-clean YAML implementation record,,KEEP,NO,
docs/RURO_post_estimation_M1_diagnostics_implementation_report_v1.md,ACTIVE_KEEP,HIGH,Implementation record for M1-clean diagnostics script,,KEEP,NO,
docs/RURO_post_estimation_M1_naive_diagnostics_implementation_report_v1.md,ACTIVE_KEEP,HIGH,Implementation record for M1-naive diagnostics script,,KEEP,NO,
docs/RURO_occ_M1_naive_YAML_implementation_report_v1.md,ACTIVE_KEEP,HIGH,M1-naive YAML derivation record,,KEEP,NO,
docs/JMP_GSURv2_script_remediation_report_v1.md,ACTIVE_KEEP,HIGH,Remediation completion record for C1–C7; cited by construction authorization chain,,KEEP,NO,
docs/JMP_GSURv2_y2016_provenance_lock_plan_v1.md,ACTIVE_KEEP,HIGH,Lock plan required by construction authorization; corrected in-place,,KEEP,NO,
docs/RURO_FR2016_CONTINUOUS_DATA_BUILD_AUDIT_v1.md,HISTORICAL_KEEP,MEDIUM,Comprehensive audit of 2016 data build; referenced by M1-clean audit; not superseded,,KEEP,NO,
docs/RURO_GSUR_external_acquisition_report_v1.md,UNCERTAIN_USER_DECISION,LOW,See §7 of plan — O1 errors corrected by verification doc; O2/O9 reasoning not reproduced elsewhere,,REVIEW,YES,
docs/RURO_GSUR_external_acquisition_verification_claude_v1.md,UNCERTAIN_USER_DECISION,LOW,See §7 of plan — adversarial verification; not in authorization chain,,REVIEW,YES,
docs/RURO_GSUR_O7_crosswalk_signoff_v1.md,UNCERTAIN_USER_DECISION,LOW,See §7 of plan — single-year sign-off cited by M0c_b2_GSURv2 verdict,,REVIEW,YES,
Results/JMP_GSURv2_MNL_rebuild_report_v2.md,ACTIVE_KEEP,HIGH,Active canonical rebuild report (in §3 required list),,KEEP,NO,
Results/JMP_GSURv2_MNL_rebuild_correction_report_v1.md,ACTIVE_KEEP,HIGH,Active correction report (in §3 required list),,KEEP,NO,
Results/JMP_multi_year_stage_M1_P3a_full_execution_report_v1.md,ACTIVE_KEEP,HIGH,Active full execution report (in §3 required list),,KEEP,NO,
Results/JMP_GSURv2_external_file_remediation_report_v1.md,ACTIVE_KEEP,HIGH,External file retrieval record; cited by construction authorization,,KEEP,NO,
Results/JMP_GSURv2_script_remediation_static_validation_v1.md,ACTIVE_KEEP,HIGH,Static validation record; cited by remediation authorization chain,,KEEP,NO,
Results/JMP_GSURv2_multi_year_extension_validation_report_v1.md,ACTIVE_KEEP,HIGH,Construction validation record; cited by construction verdict,,KEEP,NO,
Results/RURO_GSUR_v2_stageA_lookup_validation_report_v1.md,ACTIVE_KEEP,HIGH,Stage A lookup validation; cited by M0c_b2_GSURv2 verdict,,KEEP,NO,
Results/RURO_GSUR_v2_stageA_MNL_rebuild_report_v1.md,ACTIVE_KEEP,HIGH,Stage A MNL rebuild record; cited by M0c_b2_GSURv2 verdict,,KEEP,NO,
Results/RURO_occ_M0c_b2_GSURv2_estimation_input_check_v1.md,ACTIVE_KEEP,HIGH,Pre-estimation input check for M0c_b2_GSURv2,,KEEP,NO,
Results/RURO_occ_M0c_b2_GSURv2_estimation_report_v1.md,ACTIVE_KEEP,HIGH,M0c_b2_GSURv2 estimation record; baseline for M1-clean comparison,,KEEP,NO,
Results/RURO_occ_M0c_b2_GSURv2_post_estimation_diagnostics_v1.md,ACTIVE_KEEP,HIGH,M0c_b2_GSURv2 diagnostics; cited by M1-clean diagnostics,,KEEP,NO,
Results/RURO_occ_M1_clean_gate_A_parse_report_v1.md,ACTIVE_KEEP,HIGH,M1-clean Gate A parse record,,KEEP,NO,
Results/RURO_occ_M1_clean_estimation_report_v1.md,ACTIVE_KEEP,HIGH,M1-clean estimation record,,KEEP,NO,
Results/RURO_occ_M1_clean_standard_post_estimation_diagnostics_v1.md,ACTIVE_KEEP,HIGH,M1-clean standard diagnostics; cited by M1-clean post-estimation diagnostics,,KEEP,NO,
Results/RURO_occ_M1_clean_supplementary_diagnostics_v1.md,ACTIVE_KEEP,HIGH,M1-clean supplementary diagnostics,,KEEP,NO,
Results/RURO_occ_M1_clean_post_estimation_diagnostics_v1.md,ACTIVE_KEEP,HIGH,M1-clean composite diagnostics; cited by M1-clean verdict,,KEEP,NO,
Results/RURO_occ_M1_naive_gate_A_parse_report_v1.md,ACTIVE_KEEP,HIGH,M1-naive Gate A parse record,,KEEP,NO,
Results/RURO_occ_M1_naive_estimation_report_v1.md,ACTIVE_KEEP,HIGH,M1-naive estimation record,,KEEP,NO,
Results/RURO_occ_M1_naive_post_estimation_diagnostics_v1.md,ACTIVE_KEEP,HIGH,M1-naive composite diagnostics,,KEEP,NO,
Results/RURO_occ_M1_naive_supplementary_diagnostics_v1.md,ACTIVE_KEEP,HIGH,M1-naive supplementary diagnostics,,KEEP,NO,
Results/JMP_multi_year_feasibility_audit_v1.md,ACTIVE_KEEP,HIGH,Feasibility assessment for P3a/P3b/P4; cited by addendum v2,,KEEP,NO,
Results/JMP_multi_year_feasibility_audit_addendum_v2.md,ACTIVE_KEEP,HIGH,P3b/P4 branches and 2018 assessment; active reference,,KEEP,NO,
Results/JMP_single_year_consolidated_readiness_verdict_v1.md,ACTIVE_KEEP,HIGH,Consolidated Stage M1 input readiness verdict; cited by readiness report v2,,KEEP,NO,
Results/JMP_single_year_FR2015_replication_report_v1.md,ACTIVE_KEEP,HIGH,FR_2015 replication execution record,,KEEP,NO,
Results/JMP_single_year_FR2015_replication_addendum_v1.md,ACTIVE_KEEP,HIGH,Correction addendum for FR_2015 replication; documents sidecar updates,,KEEP,NO,
Results/JMP_single_year_FR2015_gsurY2014_rebuild_report_v1.md,ACTIVE_KEEP,HIGH,FR_2015 GSUR-aligned rebuild execution record,,KEEP,NO,
Results/JMP_single_year_FR2016_gsurY2015_rebuild_report_v1.md,ACTIVE_KEEP,HIGH,FR_2016 GSUR-aligned rebuild execution record,,KEEP,NO,
Results/JMP_single_year_FR2017_replication_report_v1.md,ACTIVE_KEEP,HIGH,FR_2017 replication execution record,,KEEP,NO,
Results/JMP_single_year_2016_local_mirror_report_v1.md,ACTIVE_KEEP,HIGH,FR_2016 local mirror record,,KEEP,NO,
Results/JMP_multi_year_stage_M1_static_validation_report_v3.md,HISTORICAL_KEEP,MEDIUM,Canonical final document in v1→v2→v3 chain; v1 and v2 archived; v3 is the surviving validation record for generalization phase,,KEEP,NO,
Results/JMP_multi_year_EUROMD_output_readiness_v1.md,HISTORICAL_KEEP,MEDIUM,Pre-Stage-M1 EUROMOD readiness; operationally superseded but documents FR_2015/FR_2017 absence state,,KEEP,NO,
Results/JMP_multi_year_external_assets_inventory_v1.md,HISTORICAL_KEEP,MEDIUM,Pre-Stage-M1 external assets inventory; operationally superseded but documents pre-remediation gap state,,KEEP,NO,
Results/JMP_multi_year_single_year_MNL_readiness_v1.md,HISTORICAL_KEEP,MEDIUM,Pre-Stage-M1 MNL readiness (NOT READY); operationally superseded but documents pre-rebuild state,,KEEP,NO,
Results/JMP_multi_year_stage_M1_execution_readiness_v1.md,HISTORICAL_KEEP,MEDIUM,Dry-run NOT FOUND output; cited by readiness report v1 (archived); operationally superseded,,KEEP,NO,
Results/JMP_multi_year_stage_M1_readiness_addendum_v2.md,ACTIVE_KEEP,HIGH,Active readiness addendum; cited by construction verdict path,,KEEP,NO,
